sparsity	original_accuracy	compressed_accuracy	accuracy_drop	compressed_size_mb	latency_ms	speedup
0.1	97.8700	12.0300	-85.8400	307.847	1677.609	7.516x
0.12758620689655173	97.8700	12.4100	-85.4600	301.824	3466.343	0.633x
0.15517241379310345	97.8700	10.7900	-87.0800	295.909	5723.855	0.075x
0.1827586206896552	97.8700	10.1400	-87.7300	289.885	3800.854	3.330x
0.21034482758620693	97.8700	10.0000	-87.8700	283.970	3418.988	3.660x
0.23793103448275862	97.8700	10.0000	-87.8700	277.947	293.479	39.647x
0.2655172413793104	97.8700	10.0000	-87.8700	272.032	3486.947	3.636x
0.2931034482758621	97.8700	10.1800	-87.6900	266.008	245.056	45.471x
0.3206896551724138	97.8700	10.4100	-87.4600	260.093	2935.899	3.712x
0.34827586206896555	97.8700	10.0800	-87.7900	254.070	207.512	51.488x
0.3758620689655172	97.8700	10.3700	-87.5000	248.152	1914.125	5.560x
0.403448275862069	97.8700	10.3900	-87.4800	242.131	2770.559	4.038x
0.4310344827586208	97.8700	10.1000	-87.7700	236.213	3852.905	3.249x
0.45862068965517244	97.8700	10.4300	-87.4400	230.193	3379.263	3.812x
0.4862068965517242	97.8700	10.4000	-87.4700	224.275	190.247	59.794x
0.5137931034482759	97.8700	10.0000	-87.8700	218.254	2886.504	3.762x
0.5413793103448277	97.8700	10.0000	-87.8700	212.336	3472.347	3.686x
0.5689655172413793	97.8700	10.0000	-87.8700	206.316	2925.648	3.736x
0.596551724137931	97.8700	10.0300	-87.8400	200.398	4676.434	2.754x
0.6241379310344828	97.8700	10.0200	-87.8500	194.377	2791.760	3.873x
0.6517241379310345	97.8700	9.6500	-88.2200	188.459	2925.056	3.687x
0.6793103448275862	97.8700	11.7000	-86.1700	182.439	3097.303	3.435x
0.706896551724138	97.8700	10.4500	-87.4200	176.521	2796.489	3.888x
0.7344827586206897	97.8700	12.2900	-85.5800	170.500	3409.012	3.696x
0.7620689655172415	97.8700	10.4800	-87.3900	164.582	3433.053	3.605x
0.7896551724137931	97.8700	12.1900	-85.6800	158.559	3469.987	3.581x
0.8172413793103448	97.8700	9.6800	-88.1900	152.644	2868.094	3.781x
0.8448275862068966	97.8700	10.0600	-87.8100	146.620	3396.324	3.597x
0.8724137931034484	97.8700	10.6000	-87.2700	140.705	3609.486	3.482x
0.9	97.8700	9.1300	-88.7400	134.682	3248.879	3.832x
